"exchange","symbol","name","year","cashflow per aandeel","dividend per aandeel","dividend rendement","gemiddeld aantal aandelen","koers/winst verhouding","n/a","netto kaspositie","netto winst","omzet","winst per aandeel"
"AEX","AALB","Aalberts Industries","2009","1,17","0,13","1,29","0.000","25,87",NA,"-162,00","41,47","1404,93","0,39"
"AEX","AALB","Aalberts Industries","2010","2,05","0,28","1,77","106.683","12,23",NA,"","137,50","1682,80","1,29"
"AEX","AALB","Aalberts Industries","2011","2,00","0,34","2,62","108.100","10,73",NA,"","131,34","1937,42","1,21"
"AEX","AALB","Aalberts Industries","2012","2,10","0,35","2,23","108.900","12,66",NA,"-277,00","135,10","2024,50","1,24"
"AEX","AALB","Aalberts Industries","2013","2,10","0,41","1,77","110.100","19,00",NA,"-208,00","134,20","2040,00","1,22"
"AEX","AALB","Aalberts Industries","2014","2,28","0,46","1,87","110.600","18,45",NA,"-158,00","147,50","2200,80","1,33"
"AEX","AALB","Aalberts Industries","2015","2,58","0,52","1,64","110.600","21,19",NA,"-160,00","165,70","2475,30","1,50"
"AEX","AGN","Aegon","2009",NA,"","","0.000","",NA,NA,"204,00",NA,"0,00"
"AEX","AGN","Aegon","2010",NA,"","","1.909.654","4,97",NA,NA,"1760,00",NA,"0,92"
"AEX","AGN","Aegon","2011",NA,"0,10","3,22","1.909.654","6,74",NA,NA,"869,00",NA,"0,46"
"AEX","AGN","Aegon","2012",NA,"","","0.000","",NA,NA,"",NA,"0,00"
"AEX","AGN","Aegon","2013",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA
"AEX","AGN","Aegon","2014",NA,"0,23","3,67","2.094.000","10,98",NA,NA,"1185,00",NA,"0,57"
"AEX","AGN","Aegon","2015",NA,"0,25","4,78","2.116.000","18,03",NA,NA,"618,00",NA,"0,29"
"AEX","ABN48","ABN AMRO","2009",NA,NA,NA,NA,NA,"0.00",NA,NA,NA,NA
"AEX","AH","Koninklijke Ahold","2009","1,40","0,23","2,48","0.000","12,35",NA,"2124,00","894,00","27925,00","0,75"
"AEX","AH","Koninklijke Ahold","2010","1,42","0,29","2,94","1.169.000","13,53",NA,"2384,00","853,00","29530,00","0,73"
"AEX","AH","Koninklijke Ahold","2011","1,63","0,40","3,84","1.111.000","11,31",NA,"1790,00","1017,00","30271,00","0,92"
"AEX","AH","Koninklijke Ahold","2012","1,73","0,44","4,34","1.040.000","12,67",NA,"1650,00","827,00","32841,00","0,80"
"AEX","AH","Koninklijke Ahold","2013","3,38","0,47","3,60","1.021.000","5,26",NA,"2234,00","2537,00","32615,00","2,48"
"AEX","AH","Koninklijke Ahold","2014","1,71","0,48","3,25","879.000","21,70",NA,"1344,00","594,00","32774,00","0,68"
"AEX","AH","Koninklijke Ahold","2015","2,31","0,52","2,67","820.000","18,73",NA,"1496,00","852,00","38203,00","1,04"
"AEX","AKZA","Akzo Nobel","2009","4,15","1,35","2,91","0.000","37,72",NA,"1744,00","285,00","13893,00","1,23"
"AEX","AKZA","Akzo Nobel","2010","5,94","1,40","3,01","234.609","14,48",NA,"1944,00","754,00","14640,00","3,21"
"AEX","AKZA","Akzo Nobel","2011","4,75","1,45","3,88","233.900","18,31",NA,"1141,00","477,00","15697,00","2,04"
"AEX","AKZA","Akzo Nobel","2012","2,64","1,45","2,91","237.200","-5,44",NA,"1090,00","-2169,00","15390,00","-9,14"
"AEX","AKZA","Akzo Nobel","2013","5,56","1,45","2,57","241.200","18,78",NA,"1137,00","724,00","14590,00","3,00"
"AEX","AKZA","Akzo Nobel","2014","4,76","1,45","2,52","244.700","25,85",NA,"921,00","546,00","14296,00","2,23"
"AEX","AKZA","Akzo Nobel","2015","6,48","1,55","2,51","247.800","15,62",NA,"935,00","979,00","14859,00","3,95"
"AEX","ATC","Altice","2009",NA,NA,NA,NA,NA,"0.00",NA,NA,NA,NA
"AEX","MT","ArcelorMittal","2009","2,68","0,52","1,62","0.000","536,33",NA,"-10182,00","81,91","45196,45","0,06"
"AEX","MT","ArcelorMittal","2010","3,76","0,56","2,08","1.560.915","19,26",NA,"-9731,00","2182,31","58393,21","1,40"
"AEX","MT","ArcelorMittal","2011","3,48","0,56","3,96","1.549.000","13,08",NA,"-14623,00","1677,29","69650,90","1,08"
"AEX","MT","ArcelorMittal","2012","2,87","0,15","1,16","1.549.000","-7,27",NA,"-13962,00","-2761,64","62416,99","-1,78"
"AEX","MT","ArcelorMittal","2013","1,08","0,15","1,16","1.782.000","-12,24",NA,"-8885,00","-1886,30","58879,34","-1,06"
"AEX","MT","ArcelorMittal","2014","1,29","0,15","1,65","1.791.000","-20,20",NA,"-9867,00","-804,92","58762,23","-0,45"
"AEX","MT","ArcelorMittal","2015","0,00","0,00","0,00","1.795.000","-1,19",NA,"-9914,00","-5889,42","47122,74","-3,28"
"AEX","ASML","ASML Holding","2009","-0,35","","","0.000","-68,57",NA,"","-150,93","1596,06","-0,35"
"AEX","ASML","ASML Holding","2010","2,67","0,40","1,38","439.000","12,40",NA,"","1021,80","4507,90","2,33"
"AEX","ASML","ASML Holding","2011","","0,46","1,42","425.618","9,25",NA,"2729,00","1494,00","5651,00","3,51"
"AEX","ASML","ASML Holding","2012","3,30","0,53","1,10","481.852","17,78",NA,"2694,00","1302,30","4731,50","2,70"
"AEX","ASML","ASML Holding","2013","3,39","0,61","0,90","446.822","25,48",NA,"2326,00","1193,80","5245,30","2,67"
"AEX","ASML","ASML Holding","2014","4,04","0,70","0,78","438.073","27,62",NA,"2415,00","1418,30","5856,30","3,24"
"AEX","ASML","ASML Holding","2015","4,57","1,05","1,27","433.332","22,07",NA,"2455,00","1619,50","6287,40","3,74"
"AEX","BOKA","Koninklijke Boskalis Westminster","2009","4,79","1,19","4,40","0.000","10,48",NA,"-790,00","227,90","2182,60","2,58"
"AEX","BOKA","Koninklijke Boskalis Westminster","2010","5,33","1,24","3,47","99.962","11,41",NA,"255,00","312,90","2712,70","3,13"
"AEX","BOKA","Koninklijke Boskalis Westminster","2011","4,79","1,24","4,37","102.391","11,45",NA,"285,00","254,25","2809,82","2,48"
"AEX","BOKA","Koninklijke Boskalis Westminster","2012","4,56","1,24","3,65","105.644","14,35",NA,"16,00","250,19","3095,32","2,37"
"AEX","BOKA","Koninklijke Boskalis Westminster","2013","5,91","1,24","3,23","118.445","12,43",NA,"361,00","365,69","3635,10","3,09"
"AEX","BOKA","Koninklijke Boskalis Westminster","2014","6,46","1,60","3,52","121.606","11,22",NA,"318,00","492,23","3178,18","4,05"
"AEX","BOKA","Koninklijke Boskalis Westminster","2015","5,90","1,60","4,25","124.182","10,63",NA,"776,00","440,18","3248,73","3,54"
"AEX","DSM","Koninklijke DSM","2009","6,10","1,20","3,48","0.000","17,14",NA,"1209,00","337,00","8322,00","2,01"
"AEX","DSM","Koninklijke DSM","2010","5,64","1,35","3,17","165.050","14,15",NA,"2185,00","507,00","9185,00","3,01"
